i1,i2,d1,d2,d3,d4,ind1,ind2,ind3,ind4,ind5,,ind6
2011/12,CMENT,1.84,5.78,3.79,2.94,25.79,4.62,5.49,6.58,1.95,0.011777119,1.1777119
2011/12,DEVA,-2.43,-1.72,-3.86,-4.57,48.3,2.35,2.16,4.99,1.37,0.006551563,0.6551563
2011/12,DITAS,4.66,2.19,2.94,7.87,37.19,4.72,4.94,9.38,2.11,0.000333062,0.0333062
2011/12,DMSAS,1.46,4.43,1.18,2.44,42.31,4.01,4.92,11.8,1.56,0.001224545,0.1224545
2011/12,ECILC,3.11,2.43,9.09,3.56,13.67,4.29,6.28,4.24,3.65,0.029812703,2.9812703
2011/12,EGEEN,23.71,17.93,16.58,52.62,55.84,3.34,3.29,6.99,2.05,0.001474779,0.1474779
2011/12,EGGUB,-0.08,13.49,-0.09,-0.17,55.09,22.86,5.29,3.33,0.39,0.002205783,0.2205783
2011/12,EGPRO,4.05,7.12,4.22,9.06,55.8,1.65,4.68,6.83,1.57,0.00275525,0.275525
2011/12,ERBOS,9.01,7.71,6.7,14.7,45.74,6.01,3.97,4.38,1.8,0.001589684,0.1589684
2011/12,EREGL,7.47,19.93,11.27,14.79,45.58,8.78,2.19,15.33,2.44,0.131675509,13.1675509
2011/12,FMIZP,33.76,18.74,25.78,35.82,5.31,6.78,16.27,36.99,17.64,0.000297588,0.0297588
2011/12,FRIGO,-9.25,-3.21,-12.27,-39.88,69.53,8.88,2.36,2.87,0.93,0.000400137,0.0400137
2011/12,FROTO,17.07,6.96,6.34,36.25,57.07,8.49,12.67,9.6,1.78,0.043478164,4.3478164
2011/12,GENTS,16.86,13.91,17.79,20.26,13.64,3.99,3.57,10.04,4.66,0.001713127,0.1713127
2011/12,GOLTS,0.98,8.56,1.84,1.68,36.84,7.98,5.05,5.97,2.32,0.004438626,0.4438626
2011/12,GOODY,10.58,5.89,4.98,20.34,49.07,5.27,8.15,9.97,1.69,0.006415237,0.6415237
2011/12,GUBRF,5.05,22.51,5.71,23.28,59.51,4.8,4.11,2.31,1.12,0.029180772,2.9180772
